configuración,parámetros,épocas,mejor_época,acc_train,acc_val,brecha
"A · (64,)",787077,40,37,0.8771,0.8233,0.0538
"B · (256, 128)",3181061,40,36,0.9107,0.8233,0.0874
"C · (512, 256, 128)",6460421,40,38,0.925,0.8533,0.0717
Adam (lr=0.001),3181061,40,40,0.9171,0.8467,0.0705
SGD+momentum (lr=0.01),3181061,40,36,0.9071,0.86,0.0471
Adam lr=0.1,3181061,14,6,0.4786,0.2467,0.2319
Adam lr=0.01,3181061,40,40,0.9186,0.6733,0.2452
Adam lr=0.001,3181061,40,40,0.9129,0.8467,0.0662
Adam lr=0.0001,3181061,38,30,0.8529,0.83,0.0229
